X,Y,Density
-183.7857001,5491.415304,57.007
758.8573662,4868.876788,77.801
470.3114294,5031.867446,52.274
459.2484553,5212.793802,83.566
19.37005072,5549.227757,48.393
941.5744961,4696.229025,84.13
740.3303477,4671.404597,85.612
1158.73273,4583.477704,59.496
376.3468386,5412.96279,68.735
664.4485815,5103.233866,55.47
819.6949666,4820.390275,77.086
470.2612529,4974.165839,57.01
236.0716305,4869.744442,88.892
346.6904574,5000.252302,72.866
-4.452656952,4748.13413,69.891
1073.697999,4245.46071,68.011
408.381671,4983.918724,61.118
-123.9707942,5290.664982,61.985
244.9906139,5609.718486,53.661
862.2401696,4618.906677,53.602
699.4801745,5080.402827,96.98
642.7282122,4841.533478,51.478
232.8098379,5714.510177,53.089
1085.997446,4482.615846,83.096
-157.0408472,5404.114909,58.738
255.0065214,5707.851317,51.183
66.27586918,5172.071295,56.423
-285.2130996,5016.310839,55.175
858.0161591,4704.787985,60.46
996.46078,4666.972643,35.783
339.5816076,5267.177042,58.075
1064.993393,4568.034927,69.352
467.2329711,5247.651571,69.625
176.2606535,5648.252402,50.902
361.9190791,4840.213528,56.406
651.3859097,5105.077517,98.696
177.5273522,5708.353571,48.013
89.20404719,5537.784576,54.113
1272.940424,4506.093884,57.42
814.7666024,4867.491317,44.604
-101.0647761,4838.477408,68.013
351.7867061,5323.893393,72.235
749.5750338,4681.723518,95.594
-75.0922972,5252.093772,58.075
487.0890032,5047.719826,50.578
-149.849651,5037.424007,55.605
952.0845115,4557.807287,48.713
1010.980961,4101.06369,83.716
24.11686018,5434.681375,51.446
924.1881793,4637.888659,56.349
175.5252189,5698.929674,48.451
224.020417,5812.083019,56.136
724.6578474,5186.859331,45.693
268.7900659,5116.474219,60.187
538.8310509,5016.707832,54.792
183.1926063,5077.563429,55.717
139.7543073,5039.941607,56.789
-310.146949,5277.118861,64.521
-309.6828251,5447.596624,62.235
961.6132525,4544.841629,58.939
1078.337117,4635.978062,66.57
391.7788622,4988.523342,61.365
-272.8762216,4846.997915,52.487
975.6277444,4110.748949,77.184
274.1514848,5236.978601,62.692
32.4689119,5335.008256,53.439
883.1409465,4573.605719,58.352
134.023564,5695.677484,53.716
12.83764365,5429.694959,51.904
106.7255704,5693.249771,54.623
168.2003007,5101.878022,42.574
1056.797184,4124.184798,83.523
81.79406894,5462.773188,54.177
1038.972448,4176.610593,56.128
-7.648539618,5669.189841,52.673
686.3937254,5162.446596,94.451
401.4336645,4852.610982,73.462
369.6231701,5066.059325,60.694
1044.292367,4132.738669,84.551
496.6788181,5095.28166,63.87
0.915143619,5669.238556,56.013
175.5625729,5073.100787,58.478
1076.312462,4519.537065,69.176
840.3358654,5100.471806,29.789
827.9573186,5110.139538,28.219
438.3516114,5418.837171,51.974
464.238034,5249.19162,45.792
1192.245821,4368.270693,74.875
731.3973532,4664.59137,63.434
964.5088906,4116.056276,74.178
854.2164308,4839.106258,66.522
547.6724219,5052.076769,64.286
522.1470754,5095.842755,84.106
153.2695606,4874.577993,68.415
-50.81491731,5542.477487,58.802
545.9449972,5017.399927,52.823
-503.8980376,5445.87089,69.382
1117.717727,4273.927491,53.194
89.09951089,4836.763524,67.066
168.4763712,5644.594006,57.407
792.8700283,4848.380844,67.208
772.3583475,4888.144013,52.861
834.0445284,5085.486876,27.019
1160.286916,4579.797255,52.403
573.9185852,4999.854876,52.432
-245.2831166,5213.320496,60.769
283.4730383,5747.714376,53.988
168.5407566,5027.405965,58.524
215.2306374,5784.547581,51.467
-28.05392952,5411.593355,59.346
53.09733248,5523.379512,56.383
87.22425421,4839.220459,57.884
696.915591,5045.13417,54.2
348.9631193,5454.027657,60.087
989.8478,4571.51054,64.748
777.6345255,4641.289481,61.932
191.6370773,5519.111625,52.586
1086.384269,4487.845134,87.7
123.6292403,4992.247997,83.077
687.271664,4928.251709,56.962
-350.5991288,5296.230807,63.871
1157.454819,4335.116979,84.679
915.7561455,4675.286789,77.35
643.1020756,5083.646686,62.333
571.7506803,4892.601434,77.447
1034.116144,4499.088518,91.742
754.8666138,5043.585376,55.933
489.6795979,4990.546055,50.094
853.940015,4840.506245,54.562
492.8198779,5258.489175,60.326
-385.6527525,5414.778026,69.638
1045.179584,4123.189542,57.087
689.8317084,5102.730473,50.137
869.9099032,4696.186319,49.818
410.9128457,5407.978623,57.568
772.6033703,5081.920392,50.417
652.7582048,4790.052133,79.236
145.6830206,5179.904523,54.468
-196.6239293,5226.252211,62.93
409.0395344,4881.607874,87.426
241.6131743,4858.65761,71.526
50.8917234,5612.266564,55.12
773.9167327,4777.765372,54.334
184.9741999,5558.569649,61.422
907.2234382,4138.836643,88.346
339.0254352,4884.357205,80.532
129.3869,5247.359204,65.342
287.9979315,5612.847555,59.614
591.3832635,5080.711143,63.099
877.1877373,4227.936023,74.209
288.1391024,5643.062923,55.978
243.7864009,5648.987071,55.854
-100.9948275,5105.727159,56.845
453.1619915,5018.550809,65.843
287.0915323,5119.504114,55.769
565.6405041,4963.723498,69.313
541.3980752,4530.825282,49.217
-266.3273072,5553.279489,61.678
615.7651132,5035.485685,73.711
756.7644635,4736.404187,59.345
185.2507409,4804.918338,75.853
734.5178999,4658.368942,68.278
671.6069499,4726.362669,72.014
1091.15432,4486.062187,84.067
712.8182498,5071.113972,68.939
175.258776,4824.862625,68.619
74.84721217,5354.427388,53.581
789.2390691,4715.104212,51.655
1203.233622,4506.557768,61.743
188.4610326,4995.287804,63.877
612.8722221,4843.828345,52.904
827.0075322,4199.298458,64.133
436.7677152,4916.274821,60.366
490.1677126,4995.666503,50.942
286.4252793,5277.981047,59.486
24.70739339,5643.518289,50.039
826.3637357,3934.759477,81.015
206.5781433,5598.215928,37.074
130.7302833,5669.535371,51.198
148.2944754,5732.657122,56.089
632.3910443,5029.978967,60.339
-297.4214146,5284.007817,59.131
550.1360793,5059.840216,65.427
1037.31714,4619.524038,46.615
177.5071727,5596.191709,48.876
511.767669,4345.705145,50.829
1132.168502,4274.047292,88.018
454.6573167,4903.918215,67.655
14.29125372,5459.975284,61.841
961.8466466,4600.018181,59.713
137.0111093,5679.339259,50.864
946.2945448,4542.813342,63.009
373.2294207,5288.498558,55.026
171.6126442,5643.490765,51.933
527.0935057,5076.418695,76.811
234.6173742,5779.8042,49.018
34.69213176,5670.343608,55.347
578.9962562,5014.460111,56.406
464.0253026,5246.492273,51.367
-128.3752487,5113.823152,56.05
466.3134498,5086.395152,56.64
142.1837722,5581.77482,60.936
59.20338159,5591.339303,55.047
852.7657211,5086.648239,35.287
602.1885329,4945.712063,68.647
190.4369083,4821.931007,69.832
209.2200565,5057.283878,58.492
82.15762559,5625.154606,46.829
748.451675,5114.789939,56.764
32.68888053,5674.656431,56.619
736.9091193,4934.677008,51.956
529.0504698,4953.545073,85.981
85.96249048,5641.328479,51.2
582.2208861,4999.279141,51.951
-96.41989818,5515.571814,56.288
927.4381999,4713.056847,56.904
852.5601605,4840.74521,35.607
109.450451,5592.925383,51.626
499.3230564,4915.735057,73.129
722.5304039,5028.194356,59.816
791.1671232,4870.808508,73.651
619.7351489,4975.705201,56.23
214.1623049,4828.624918,63.426
-224.4300233,5297.917478,61.628
180.2738659,5756.493951,47.686
437.5315876,5226.563791,77.894
514.6828692,4934.61255,87.783
595.2418966,5040.919398,60.18
-80.95158881,4834.924331,69.669
128.0999232,4863.888923,64.198
375.6319051,5286.856591,64.672
255.469195,5018.752043,46.894
224.9140042,5625.010843,59.157
851.3734032,5082.356171,31.473
1132.421591,4337.685156,78.83
340.4609293,5902.360086,54.476
172.6373472,5058.3934,59.585
268.3817103,5813.56932,52.979
605.3345554,4960.884918,55.254
515.6770749,4675.997034,81.439
168.9884352,5042.16504,61.877
497.4691268,5096.881229,60.903
-27.8766494,5579.209324,58.585
93.91152247,5308.397488,60.154
734.0305215,4969.409469,58.89
80.93768073,4850.885954,70.883
-161.8696312,5195.651195,60.758
631.9077983,4949.950977,51.602
131.7094475,5561.605328,57.086
529.7561814,5250.4362,79.493
137.9264486,5361.088236,55.355
733.969266,4838.236249,72.267
207.869178,5725.331589,36.608
1021.597504,4080.791173,56.844
671.3248118,5125.793693,54.578
1281.689172,4486.969002,62.164
724.8745853,5101.575365,48.832
769.0677071,4629.106069,59.748
-61.71790845,5425.640788,55.802
194.5186134,5074.144563,56.741
923.2398479,4701.005108,56.396
442.7103131,5129.29391,81.3
1070.634486,4566.115071,77.855
1082.34871,4238.337707,63.096
1037.560348,4171.006928,76.087
1165.72086,4330.460004,86.061
18.7752831,5415.538212,52.701
860.9534372,4699.527092,60.332
-20.91809503,5459.027016,63.186
-235.923185,4811.337289,60.795
785.9589397,4645.134008,51.372
658.952309,5050.514967,94.013
1210.902547,4544.414709,72.676
735.4575609,4735.577993,69.619
-70.52620335,5560.174881,64.071
698.2044875,5048.366466,68.767
478.0855075,4641.449565,63.052
203.3903209,5811.18822,52.465
-27.80790681,5322.418987,62.393
-21.33994866,5383.790823,61.154
679.7723702,5145.019406,50.21
148.6666779,5099.762853,74.959
269.6424667,5868.52432,57.598
444.2338351,5062.432449,63.19
346.0961925,4829.080378,59.563
-366.9496165,5440.408956,61.698
-68.83233052,5502.268602,66.322
770.9908297,4642.668094,62.588
835.1876182,4729.967294,86.534
101.1838804,5589.555337,59.429
176.0739929,5406.431576,58.016
-308.9927553,4888.301901,51.211
232.8839266,5028.625535,52.233
294.3017671,5444.556684,53.052
394.5147352,5001.000682,62.191
0.315706127,4745.072905,64.49
-250.5541489,5258.83709,61.334
-251.2066287,5016.108039,60.503
201.4384701,5041.249889,76.016
78.20717073,5597.534116,52.565
-117.9941322,5546.290601,55.62
1046.145539,4241.991083,55.056
825.1876182,4720.967294,75.88
509.9249162,4342.95038,45.581
-145.347052,5504.271568,61.863
249.1787405,5701.304842,51.484
732.1210974,4663.22557,59.31
759.2257704,5035.996555,60.495
79.0028955,5622.009293,54.798
788.3209494,4643.850169,39.935
362.749731,5032.239327,82.055
793.8504055,4643.18665,51.939
178.8381931,5761.886494,44.923
1198.134823,4507.35681,60.375
249.8222671,4779.966618,68.654
238.3367292,4994.745645,55.229
44.05494928,5099.393068,49.616
89.34223742,5660.051844,51.955
682.0752405,4956.452144,54.89
7.33073957,5436.090269,50.149
7.070363278,5151.879341,51.008
63.44238712,5418.016037,54.627
483.8979348,4919.475962,75.232
-353.8769671,4867.453387,66.275
137.4986703,5464.321996,54.337
951.2298541,4532.110309,62.63
218.5545757,5809.092109,52.888
784.5896358,4884.955692,51.255
142.8194284,5639.722278,51.356
529.7376633,5109.36356,53.13
494.89652,5111.860282,56.036
49.79638881,5010.534722,83.136
54.14806304,4807.425189,70.173
500.7408599,4982.983756,53.309
942.9105779,4536.934385,65.707
-298.2004716,5220.620947,59.676
140.1410102,5470.620293,56.878
499.1686778,5014.366718,57.62
1047.048738,4249.999395,69.011
903.5046638,4137.788295,65.86
280.760044,5643.592345,50.073
1011.669134,4574.027056,89.305
347.776918,5450.389288,59.438
709.2447628,4948.815203,60.995
-0.798416783,5378.919648,60.225
1116.315845,4303.416723,83.883
56.88143561,5221.319994,54.218
-96.79087782,5108.43541,59.743
-227.2601865,5370.345814,57.226
1137.995175,4531.45787,77.411
86.89802214,5180.746252,52.525
278.7213533,5235.381083,78.652
733.7065313,4816.075765,52.352
423.4175463,4950.490552,58.173
782.3841026,4774.083552,62.471
33.112287,5429.264365,54.406
29.33986138,5375.267027,59.219
881.1536484,4226.407538,72.926
-172.7613686,5500.994739,59.34
538.5362914,5084.512396,99.602
293.2296386,5396.604792,54.294
300.5395061,4985.732653,88.147
1083.645115,4486.434797,76.269
360.8526008,5860.44551,54.677
-78.51125425,5299.986438,63.053
518.4293741,5036.112727,55.429
-50.8116329,5215.525981,57.498
172.5932523,5643.696558,44.885
386.8693426,5003.488138,53.402
255.9920694,5547.195369,67.427
227.1776984,5531.884566,61.68
172.9648203,5637.481148,60.847
207.8380108,5655.574126,59.973
163.3647804,5634.913766,57.484
231.7624159,5575.934026,57.443
257.1303899,5512.873121,57.246
215.5535848,5602.215344,56.067
232.2269926,5682.807555,55.878
262.177899,5642.183414,55.719
262.6078879,5670.169277,55.55
100.1613557,5644.619194,54.194
50.02749792,5671.26356,53.972
257.365996,5612.450798,53.077
133.9748912,5669.638599,50.587
261.6677425,5617.265844,50.506
185.4211318,5687.521882,50.251
108.0158749,5621.876334,49.099
183.2724002,5661.807201,47.77
140.9431064,5602.598878,45.574
180.9710227,5683.067217,44.514
175.2893952,5647.052516,44.406
286.4928965,5576.642923,57.466
1273.424925,4518.802463,66.769
504.1468902,4956.657899,87.317
518.514216,4410.298884,85.07
739.5750338,4671.723518,83.992
495.3022311,4917.147375,81.083
614.0945316,4906.155433,79.687
681.5906883,5005.945348,78.453
458.9615752,4907.033331,78.177
342.6550447,5065.949097,77.656
445.4598399,4961.853325,75.759
517.3110587,5072.895,74.14
434.5489839,5057.082157,73.55
385.6999989,4984.740101,73.409
383.5553591,4915.319019,71.546
616.7979126,4858.338875,70.756
530.7307445,5077.391167,70.62
707.2625371,5018.565192,70.458
726.5827,4671.182584,69.262
684.3462721,5065.044689,69.097
509.788745,5063.745949,69.022
536.3432709,5058.966821,68.156
605.3713435,5147.218299,68.056
686.9772602,4851.084909,66.871
436.6073973,5046.483178,66.763
426.3563837,5045.462015,66.581
563.9020444,4885.911054,66.319
516.2344058,4342.628008,66.291
484.7940508,5075.855965,65.843
403.7878663,5049.968584,64.454
663.2195731,4984.692015,64.406
392.4206488,4978.445114,63.647
393.5745348,4986.604093,63.175
732.9309415,4958.468882,63.139
593.5567612,5056.417936,62.885
709.275141,5011.591754,62.749
521.5317488,5049.887783,62.474
637.8035995,4930.659644,62.179
668.7742633,4851.03206,61.349
368.0716685,5065.936414,60.905
501.8864167,5052.595154,60.438
700.8749127,4997.66415,60.301
412.2661172,5033.687204,60.082
543.7534643,5108.836335,59.742
731.7727475,4663.747719,59.524
661.1292872,4864.512026,59.451
552.346609,5009.272752,59.225
719.8294029,4991.150807,58.63
709.4721826,4966.926112,58.537
488.1813849,5043.695893,58.334
513.0361771,5043.798296,58.159
552.7080465,4987.422849,57.928
521.4071939,5047.543142,57.651
641.1247423,5002.359567,57.472
663.0628109,5118.084639,56.565
433.878062,4917.992007,56.059
608.1788428,4975.655052,55.824
543.4716647,5038.369295,55.762
437.2820879,4973.137414,55.5
671.8674389,4977.237323,55.197
726.334763,5053.736932,54.742
631.4300366,4970.200203,54.684
493.305456,4987.48628,54.203
642.3167374,4933.346386,54.176
601.9681636,5011.421839,53.935
555.2087116,5023.984685,53.729
580.3433684,4982.278087,53.535
480.5086909,5051.492045,53.215
445.3118558,5108.468423,52.771
681.7407207,4929.951153,52.634
398.7663027,5003.342764,52.461
651.156313,4945.905195,52.244
679.7061628,5152.179299,51.9
525.5943143,5036.637781,51.694
375.3570218,4953.018051,50.22
512.9370222,5004.503779,49.407
648.9738246,4962.392436,49.353
567.5270508,4885.103011,49.067
567.9562304,5113.156979,48.514
654.0346788,4890.336955,47.582
678.9209756,5029.929108,47.173
442.8243305,4489.390107,44.164
966.6035167,4170.584857,95.989
1058.743547,4558.277379,87.164
854.0716567,4758.907406,86.614
1116.931613,4420.811424,82.217
1081.332714,4521.997682,80.494
1047.488023,4245.463853,75.839
1086.897064,4485.559687,73.516
906.8630383,4138.752321,73.137
759.4657691,5117.59468,71.825
755.7992994,4701.327675,71.704
863.8406365,4838.631424,71.311
911.8296984,4213.743724,71.176
859.316834,4801.995129,71.133
1135.392924,4256.281853,70.821
1124.926579,4376.663112,69.934
1256.58761,4538.631639,69.807
878.9716153,4808.705606,69.627
1135.600335,4508.757956,68.66
1005.656915,4512.78511,68.329
1135.541429,4397.243533,68.28
1152.345467,4579.887635,67.904
1140.65531,4501.868575,67.451
1031.43692,4169.094606,67.22
917.3923822,4701.991072,67.053
990.7843567,4517.398962,65.752
1202.431292,4355.798362,65.43
1049.564351,4243.818692,65.304
773.1552088,4867.292617,65.121
981.7885456,4522.341776,64.958
1258.084568,4538.223385,64.948
861.4308261,4219.399281,64.92
932.0454369,4531.741401,64.645
1213.786,4521.68869,64.492
774.1409353,4879.01617,64.206
1166.826878,4563.883805,64.122
959.1141156,4526.430658,63.175
956.3279393,4551.893169,62.272
877.4739021,4754.362335,61.91
889.1634574,4623.615157,61.869
765.8829184,4908.807183,60.708
756.7812539,4923.584759,59.939
743.5443817,4900.740667,59.897
1110.040379,4599.59778,59.266
1137.75305,4547.237101,59.241
760.7438117,4780.585446,58.917
811.4043587,4213.130969,58.015
756.6539199,5087.215373,57.967
803.3448345,4648.424888,56.712
752.2446747,5062.763504,56.33
934.370051,4710.08482,54.587
796.2300633,4640.137216,54.455
826.8022726,4597.662905,54.409
797.3653223,4720.754303,54.241
967.9113618,4115.063611,53.567
779.956208,5059.249315,52.568
987.3266416,4545.376349,52.5
985.3677348,4567.729291,51.13
930.4673357,4713.74526,50.037
792.9121752,4650.011387,48.328
937.004352,4529.358594,48.179
949.0129513,4561.910656,46.849
790.7577143,4648.276481,45.922
988.2511768,4521.025016,45.194
817.483449,4701.924714,44.851
850.4612494,4836.491474,43.454
801.6346739,5157.917153,42.517
833.0373416,4627.596236,41.689
843.7326798,5081.281301,39.817
831.1466579,5081.866245,35.804
849.5460853,5085.729981,35.676
849.0593165,5074.023044,31.497
826.957913,5106.621363,27.888
808.3202358,5146.524889,26.663
804.7673039,5085.646824,26.612
780.4034536,5095.727956,22.816
342.9769797,4850.611192,90.077
535.6117967,4724.405803,82.038
536.5631064,4727.36457,80.265
355.8273319,4838.464368,76.258
266.6248499,4778.102521,75.68
361.8288014,5372.786495,72.927
338.9421016,4824.758913,70.044
263.1780582,4809.24563,69.971
319.4004362,4811.863553,65.629
479.9090431,4644.16438,65.248
289.0958444,5393.275066,62.354
335.6266212,5240.195,59.657
292.1169604,5016.884035,58.671
539.0887995,4709.378031,58.666
296.9367132,5475.067368,58.079
375.8158428,5324.913195,57.99
267.5280348,4937.708592,56.992
290.0201408,5443.393196,56.362
485.1078885,4645.12863,56.164
277.8739283,5088.804669,55.958
293.5569939,5471.175561,55.309
285.100456,5119.340089,55.02
310.6325629,5338.644124,54.148
403.0963224,5374.452059,52.389
410.1909932,5384.8637,51.723
276.4456395,5086.453257,51.094
296.6998935,5061.252884,50.395
333.8946141,5264.232955,50.267
322.7167026,5088.100853,49.412
334.8402285,5087.642707,41.57
234.7017758,4803.241771,86.239
-39.17845831,5096.408573,77.984
179.6208826,4814.700822,77.622
29.43028448,4822.418475,70.662
222.0895144,4799.064694,70.234
-211.7330949,4868.591266,69.323
185.50827,4839.168969,68.724
-155.1287811,4891.406801,68.688
185.0189428,4886.104618,67.896
254.1521584,5106.984345,67.809
-17.66242044,4995.042733,66.579
37.04275737,5085.102914,66.288
-12.38657198,4931.666848,65.58
186.268138,5537.540529,65.456
147.6522775,4845.07804,65.279
198.0653186,5251.323287,65.239
163.3180891,4874.849543,64.946
-24.70646838,5405.475572,64.84
4.352634444,5629.993823,64.269
207.731934,4864.991998,64.204
204.536641,4941.855787,64.088
-143.7775398,5522.843481,63.77
-46.36217448,4850.930619,63.494
236.6367797,5174.397768,63.008
-57.50191333,5208.732249,62.988
-110.0648148,4853.854688,62.24
-154.9382206,5350.496687,62.133
259.6747937,5053.858859,62.11
-144.1019424,5520.057574,62.036
-50.33992915,5137.701499,61.954
43.26593406,5449.422103,61.936
174.2548527,4976.808745,61.73
-24.01930285,5642.175793,61.367
-124.9480442,5522.23112,61.342
207.5853936,4801.033216,61.073
-112.2747874,4852.757499,61.05
-2.931782093,5414.395005,60.718
142.8281881,5046.642534,60.623
97.29134174,5000.014168,60.391
-65.71057296,5490.576038,60.248
-130.2528291,5277.278838,60.085
202.6461753,5246.834316,60.023
119.9479063,4874.49232,59.485
265.2178638,5439.748303,59.431
208.9265112,5124.493825,59.276
-53.70612481,5392.850709,59.119
202.8949193,5395.939173,59.02
179.734109,5137.595615,58.596
-21.75301818,5335.438148,58.326
234.1297256,5221.868166,58.275
185.7198142,5082.369074,58.175
-134.7328822,5510.570018,57.683
216.949128,4798.187311,56.824
12.59164266,5204.430253,56.692
-73.79368566,5459.59223,56.685
-225.9473852,4825.335253,56.409
42.5788788,5088.399906,56.385
-8.195140612,5455.968697,56.305
-0.509794062,5235.50504,56.21
-160.7575809,5345.632916,56.093
149.4538176,5045.544057,55.569
-188.2082594,5092.95415,55.347
-72.97004195,5502.063335,55.307
-111.2317198,4901.649709,55.169
81.56306663,5629.886388,54.846
160.4130421,5433.635993,54.726
67.07199555,5606.365931,54.359
182.3233209,5193.710831,54.346
40.32833948,5085.763032,54.311
175.9699212,4983.771555,54.061
69.41087947,5123.659866,53.904
13.46178216,5423.731443,53.74
242.528539,4996.989301,53.458
177.5899822,5075.490478,53.431
171.5111572,5032.374538,53.396
49.15345716,5617.528811,53.284
12.4560425,5436.790326,52.983
12.01329563,5433.516471,52.661
132.9368715,5360.940106,52.645
-162.9017094,5195.428028,52.602
260.2950451,5050.274751,52.259
-4.300890803,5427.931586,51.86
-139.4047519,5480.981005,51.655
32.25561157,5395.905021,51.028
-33.5349665,5452.759044,50.358
25.33959155,5476.836361,50.285
24.24891511,5427.341948,49.997
104.5761829,5604.237081,49.978
-86.54609576,5027.742683,49.739
-72.85616618,5506.754221,49.518
118.9219566,5110.418759,48.884
243.4415661,5006.121085,47.862
14.39190532,5546.004767,47.481
29.80007712,5442.441564,47.261
-68.02121363,5037.393483,46.261
244.9103494,5008.387384,45.372
26.06811822,5478.653092,28.69
-196.2958678,5431.318485,70.416
-356.9865856,5295.920861,68
-428.4659619,5362.57031,65.57
-382.8728371,5344.714966,64.336
-497.350711,5447.757396,63.357
-229.8757093,5173.481283,61.964
-281.2981528,5159.057474,61.939
-476.3369433,5398.417591,61.543
-207.0447351,5336.050847,61.536
-219.6743868,5299.264848,61.049
-250.8061203,5028.665084,60.847
-225.5364696,5153.045733,60.713
-283.7303001,5162.46377,59.777
-235.3417114,5489.55882,59.53
-256.8292998,5012.39336,59.284
-258.3210341,5005.721274,58.905
-261.7777162,4838.353235,58.176
-306.3791828,5382.57086,57.84
-294.6696564,5384.071369,57.565
-348.4241791,4867.829704,56.204
-181.5607998,5486.574122,51.93
318.6627659,5912.483448,57.454
298.2781345,5837.96851,53.84
335.9575509,5773.953881,52.707
323.2698151,5807.401355,52.499
293.0180373,5667.240803,51.149
233.8037143,5857.747439,59.665
193.9338416,5803.522873,59.193
177.2458802,5780.090461,55.768
274.6226295,5778.562518,55.408
234.8486779,5779.379366,53.789
181.7818808,5775.546088,53.033
186.2688115,5747.09942,52.136
281.783483,5714.627946,51.745
189.1768561,5761.154322,50.979
204.1240205,5747.587613,50.747
220.0302478,5766.053885,50.69
165.0478378,5769.813692,50.184
220.2163296,5812.376256,49.325
234.1217355,5775.672503,48.953
225.8270751,5791.041562,48.351
183.8322499,5762.293136,44.602
187.988059,5762.667707,38.317
195.7609263,5755.751415,26.949
346.5116982,5212.646449,86.696
317.6771099,5156.327882,66.635
274.3976752,5123.886198,59.53
464.5507268,5247.233702,58.771
393.3877087,5266.269934,58.501
284.8301084,5119.560948,58.385
343.1874118,5186.446261,57.995
318.9577713,5154.7547,57.955
446.9025997,5212.924643,55.805
383.0311683,5202.210774,55.124
478.9456512,5261.678917,55.114
465.2663583,5248.251894,54.615
393.3477456,5269.027709,54.396
356.9789999,5111.158158,52.754
470.8302044,5250.010938,52.511
528.206174,5252.695742,51.661
279.4626724,5121.109239,50.515
381.3611792,5200.898653,48.316
467.5851136,5254.006683,44.03
